row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
20546,target_pcr_positive,target_pcr_positive,30153-Symptoms-1,"In the last 14 days, the participant experienced the following symptoms, selected; None",13,355,39,119,39,355,0.11488543502643807,-2.163819864334423,368
28301,target_pcr_positive,target_pcr_positive,30160-Symptom_Inflamm-2,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Joint or any other unexplained pain",17,25,35,449,35,25,8.689588511460922,2.1621255861953927,42
22896,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-3,"In the last 14 days,  the participant experienced the following respiratory symptoms; Cough",36,98,16,376,16,98,8.455468389478542,2.134813378743816,134
23366,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-5,"In the last 14 days,  the participant experienced the following respiratory symptoms; Wheezing",10,13,42,461,42,13,8.445751633986928,2.13366354973163,23
58592,target_pcr_positive,target_pcr_positive,32610-Symptoms_Ill_23,(If applicable) The participant indicates this was a first symptom related to: Shortness of breath,11,15,41,459,41,15,8.214924212980955,2.1059525260030925,26
70678,target_pcr_positive,target_pcr_positive,bin_36096-Post_covidvaccine,Post-Study COVID Vaccination Status,19,148,15,14,15,148,0.12284131638970348,-2.0968618671717256,167
22191,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-1,"In the last 14 days, did you experience any of the following respiratory symptoms? None",9,302,43,172,43,302,0.12453690510116842,-2.083153180487625,311
70401,target_pcr_positive,target_pcr_positive,bin_32136-vaccine_didyou,COVID Vaccinated (About You),27,425,29,57,29,425,0.12597343105817682,-2.071684258883373,452
28066,target_pcr_positive,target_pcr_positive,30160-Symptom_Inflamm-1,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; None",29,431,23,43,23,431,0.12655013436552354,-2.067116730233183,460
55537,target_pcr_positive,target_pcr_positive,32597-Symptoms_Ill_10,(If applicable) The participant indicates this was a first symptom related to: Fatigue (more than normal),27,57,25,417,25,57,7.830349531116794,2.0580071489957503,84
45042,target_pcr_positive,target_pcr_positive,31396-join_hear-2,"Participant heard about the study, because of: Friends/family",4,222,34,219,34,222,0.128676111382511,-2.0504567963521088,226
23601,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-6,"In the last 14 days,  the participant experienced the following respiratory symptoms; Shortness of breath",18,31,34,443,34,31,7.549804462847941,2.0215216639650118,49
69889,target_pcr_positive,target_pcr_positive,bin_30171-COVID_vaccine,COVID Vaccinated (Symptom Screening),27,412,25,53,25,412,0.13986928104575164,-1.9670469993646296,439
25716,target_pcr_positive,target_pcr_positive,30158-Symtpom_Neuro-1,"In the last 14 days,  the participant experienced the following neurological symptoms; None",13,336,39,138,39,336,0.14066996445163354,-1.9613388099200817,349
50120,target_pcr_positive,target_pcr_positive,32138-vaccine_factors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,5,7,51,490,51,7,6.984466019417476,1.9436885430318878,12
21486,target_pcr_positive,target_pcr_positive,30153-Symptoms-5,"In the last 14 days, the participant experienced the following symptoms, selected; Fatigue (more than normal)",32,89,20,385,20,89,6.828587000953808,1.9211177709139038,121
69612,target_pcr_positive,target_pcr_positive,bin_30170-Flu_shot,Received Flu Shot,42,187,9,282,9,187,6.7403508771929825,1.9081119824999062,229
54597,target_pcr_positive,target_pcr_positive,32593-Symptoms_Ill_6,(If applicable) The participant indicates this was a first symptom related to: Cough,22,49,30,425,30,49,6.341281669150522,1.8470809040357927,71
60002,target_pcr_positive,target_pcr_positive,32616-Symptoms_Ill_29,(If applicable) The participant indicates this was a first symptom related to: Nausea or vomiting,8,14,44,460,44,14,6.066253390158853,1.802741180592909,22
24306,target_pcr_positive,target_pcr_positive,30156-Symptom_GI-1,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; None",20,373,32,101,32,373,0.17141386057048708,-1.7636744092823593,393
23836,target_pcr_positive,target_pcr_positive,30154-Symptoms_Resp-7,"In the last 14 days,  the participant experienced the following respiratory symptoms; Chest pain",10,19,42,455,42,19,5.7710407239819,1.7528524323634185,29
8796,target_pcr_positive,target_pcr_positive,30138-COVID_Why-2,"The following best describes why the participant was tested for the Coronavirus, selected; I came into contact with someone who has the coronavirus",18,40,34,434,34,40,5.75290749686885,1.7497053786399184,58
9266,target_pcr_positive,target_pcr_positive,30138-COVID_Why-4,"The following best describes why the participant was tested for the Coronavirus, selected; I am required by my employer or school",6,11,46,463,46,11,5.6339410939691446,1.7288092139449862,17
56007,target_pcr_positive,target_pcr_positive,32599-Symptoms_Ill_12,(If applicable) The participant indicates this was a first symptom related to: Headaches,24,70,28,404,28,70,4.932313052133881,1.5958080569564,94
54832,target_pcr_positive,target_pcr_positive,32594-Symptoms_Ill_7,(If applicable) The participant indicates this was a first symptom related to: Diarrhea,11,26,41,448,41,26,4.689929529438508,1.5454175566392259,37
8091,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-9,Following underlying conditions or risk factors selected;Current smoker (tobacco),7,16,49,481,49,16,4.421487603305785,1.4864762012992654,23
29476,target_pcr_positive,target_pcr_positive,30166-Prev_exposure-1,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; No",23,368,29,106,29,368,0.23022790515833774,-1.4686855686755724,391
25951,target_pcr_positive,target_pcr_positive,30158-Symtpom_Neuro-2,"In the last 14 days,  the participant experienced the following neurological symptoms; Headaches",31,120,21,354,21,120,4.310238347968735,1.4609932037394426,151
49012,target_pcr_positive,target_pcr_positive,32138-vaccine_factors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),3,7,53,490,53,7,4.2785046728971965,1.4536035730565602,10
48181,target_pcr_positive,target_pcr_positive,32138-vaccine_factors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,3,7,53,490,53,7,4.2785046728971965,1.4536035730565602,10
